img_backbone: 17.18, img_neck: 0.33, pts_voxel_encoder: 15.72, pts_middle_encoder: 5.97, pts_backbone: 1.78, pts_neck: 0.33, pts_bbox_head: 12.70
img_backbone: 17.14, img_neck: 0.42, pts_voxel_encoder: 13.63, pts_middle_encoder: 5.80, pts_backbone: 1.74, pts_neck: 0.33, pts_bbox_head: 13.72
img_backbone: 17.14, img_neck: 0.33, pts_voxel_encoder: 12.88, pts_middle_encoder: 5.73, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.42
img_backbone: 17.15, img_neck: 0.33, pts_voxel_encoder: 15.32, pts_middle_encoder: 113.84, pts_backbone: 1.79, pts_neck: 0.33, pts_bbox_head: 12.72
img_backbone: 17.14, img_neck: 0.32, pts_voxel_encoder: 14.27, pts_middle_encoder: 6.06, pts_backbone: 1.75, pts_neck: 0.33, pts_bbox_head: 12.40
img_backbone: 17.14, img_neck: 0.32, pts_voxel_encoder: 13.94, pts_middle_encoder: 5.97, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.49
img_backbone: 17.19, img_neck: 0.33, pts_voxel_encoder: 10.68, pts_middle_encoder: 6.49, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.48
img_backbone: 17.18, img_neck: 0.41, pts_voxel_encoder: 9.03, pts_middle_encoder: 6.99, pts_backbone: 1.78, pts_neck: 0.33, pts_bbox_head: 12.48
img_backbone: 17.19, img_neck: 0.33, pts_voxel_encoder: 8.93, pts_middle_encoder: 8.14, pts_backbone: 1.81, pts_neck: 0.34, pts_bbox_head: 12.50
img_backbone: 17.18, img_neck: 0.33, pts_voxel_encoder: 8.70, pts_middle_encoder: 7.15, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.39
img_backbone: 17.18, img_neck: 0.32, pts_voxel_encoder: 8.43, pts_middle_encoder: 7.57, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.39
img_backbone: 17.17, img_neck: 0.34, pts_voxel_encoder: 8.53, pts_middle_encoder: 7.43, pts_backbone: 1.79, pts_neck: 0.33, pts_bbox_head: 12.50
img_backbone: 17.20, img_neck: 0.32, pts_voxel_encoder: 8.74, pts_middle_encoder: 7.39, pts_backbone: 1.79, pts_neck: 0.33, pts_bbox_head: 12.43
img_backbone: 17.18, img_neck: 0.33, pts_voxel_encoder: 9.81, pts_middle_encoder: 7.06, pts_backbone: 1.78, pts_neck: 0.34, pts_bbox_head: 12.41
img_backbone: 17.19, img_neck: 0.33, pts_voxel_encoder: 10.77, pts_middle_encoder: 6.75, pts_backbone: 1.79, pts_neck: 0.33, pts_bbox_head: 12.48
